Base,Num1,Num2,Operation,AI Answer
10,3,4,+,7.103175438240009
10,6,2,-,3.999886216825032
10,5,3,*,5.111529971112213
10,8,2,/,3.8094385974825693
10,2,3,**,7.930941320351439
10,10,4,%,
10,7,5,**,6.863834732991256
10,9,3,%,-0.12337017046885207
12,3,4,+,6.937014596198944
12,6,2,-,4.187608875001492
12,5,3,*,3.0089653636742453
12,8,2,/,4.189131314798364
12,2,3,**,7.9183635745453085
12,10,4,%,1.9842933402875822
12,7,5,**,
12,9,3,%,-0.17749419960255947
16,3,4,+,7.185750649288635
16,6,2,-,4.124769305854732
16,5,3,*,15.153318575942851
16,8,2,/,4.103914761477686
16,2,3,**,7.8730186128001876
16,10,4,%,2.077576459054873
16,7,5,**,6.99579173057946
16,9,3,%,0.022519056737613674
